2020-06-11 19:38:54 status config-files linux-image-4.15.0-106-generic:amd64 4.15.0-106.107
2020-06-11 19:38:54 status not-installed linux-image-4.15.0-106-generic:amd64 <none>
2020-06-11 19:38:54 startup packages configure
2020-06-11 19:38:58 startup archives unpack
2020-06-11 19:38:58 install linux-modules-5.3.0-1023-aws:amd64 <none> 5.3.0-1023.25~18.04.1
2020-06-11 19:38:58 status half-installed linux-modules-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 status unpacked linux-modules-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 status unpacked linux-modules-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 install linux-image-5.3.0-1023-aws:amd64 <none> 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 status half-installed linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 status unpacked linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 status unpacked linux-image-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 install linux-image-aws:amd64 <none> 5.3.0.1023.23
2020-06-11 19:39:00 status half-installed linux-image-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:00 status unpacked linux-image-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:00 status unpacked linux-image-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:00 install linux-aws-5.3-headers-5.3.0-1023:all <none> 5.3.0-1023.25~18.04.1
2020-06-11 19:39:00 status half-installed linux-aws-5.3-headers-5.3.0-1023:all 5.3.0-1023.25~18.04.1
2020-06-11 19:39:03 status unpacked linux-aws-5.3-headers-5.3.0-1023:all 5.3.0-1023.25~18.04.1
2020-06-11 19:39:03 status unpacked linux-aws-5.3-headers-5.3.0-1023:all 5.3.0-1023.25~18.04.1
2020-06-11 19:39:03 install linux-headers-5.3.0-1023-aws:amd64 <none> 5.3.0-1023.25~18.04.1
2020-06-11 19:39:03 status half-installed linux-headers-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status unpacked linux-headers-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 status unpacked linux-headers-5.3.0-1023-aws:amd64 5.3.0-1023.25~18.04.1
2020-06-11 19:39:04 install linux-headers-aws:amd64 <none> 5.3.0.1023.23
2020-06-11 19:39:04 status half-installed linux-headers-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status unpacked linux-headers-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status unpacked linux-headers-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 install linux-aws:amd64 <none> 5.3.0.1023.23
2020-06-11 19:39:04 status half-installed linux-aws:amd64 5.3.0.1023.23
2020-06-11 19:39:04 status unpacked linux-aws:amd64 5.3.0.1023.23
